6.563	13.595	21.202	31.317	42.6	54.853	68.626	85.396	107.27	143.9
-0.33351	-0.21737	-0.13122	-0.064437	-0.019059	0.018936	0.064252	0.131	0.21734	0.33339
-0.54797	-0.35188	-0.20088	-0.09665	-0.028371	0.028365	0.096632	0.20087	0.351	0.54696
-1	1.328	2.138	2.6322	3.2163	4.1401	6.1691	11.343	23.763	72.887
0	1	1	1	1	1	1	1	1	1
0.20026	0.3093	0.39481	0.47256	0.54195	0.60816	0.67487	0.74703	0.8419	1.0024
-0.47989	-0.34552	-0.23329	-0.14051	-0.037629	0.037343	0.14045	0.23315	0.34523	0.47971
0.025681	0.034976	0.076958	0.15053	0.22354	0.2806	0.34616	0.40855	0.4685	0.52721
-1.5196	-1.4003	-0.29287	-0.066987	-0.017192	0.017169	0.066793	0.29014	1.4003	1.5192
0.0095131	0.021408	0.038547	0.066494	0.12432	0.27007	0.79591	0.97347	0.99509	0.99903
-0.59807	-0.41645	-0.28038	-0.15246	-0.050963	0.050816	0.15204	0.28036	0.41603	0.59762
